item_id,level,name,reading,english_name,type,srs_stage_group,srs_stage,document_url,reason_skipped
3929,Initiation,16,卒業する,そつぎょうする,To Graduate,vocabulary,0,https://www.wanikani.com/vocabulary/%E5%8D%92%E6%A5%AD%E3%81%99%E3%82%8B,
8954,Initiation,14,温まる,あたたまる,To Warm Up,vocabulary,0,https://www.wanikani.com/vocabulary/%E6%B8%A9%E3%81%BE%E3%82%8B,
3656,Initiation,14,一例,いちれい,Instance,vocabulary,0,https://www.wanikani.com/vocabulary/%E4%B8%80%E4%BE%8B,
2514,Enlightened,2,女子,じょし,Girl,vocabulary,8,https://www.wanikani.com/vocabulary/%E5%A5%B3%E5%AD%90,
3882,Initiation,14,気持ち悪い,きもちわるい,Bad Feeling,vocabulary,0,https://www.wanikani.com/vocabulary/%E6%B0%97%E6%8C%81%E3%81%A1%E6%82%AA%E3%81%84,
7585,Initiation,14,深さ,ふかさ,Depth,vocabulary,0,https://www.wanikani.com/vocabulary/%E6%B7%B1%E3%81%95,
3913,Initiation,14,卒業,そつぎょう,Graduation,vocabulary,0,https://www.wanikani.com/vocabulary/%E5%8D%92%E6%A5%AD,
6799,Initiation,14,俺ら,おれら,We,vocabulary,0,https://www.wanikani.com/vocabulary/%E4%BF%BA%E3%82%89,
3895,Initiation,15,飲み放題,のみほうだい,All You Can Drink,vocabulary,0,https://www.wanikani.com/vocabulary/%E9%A3%B2%E3%81%BF%E6%94%BE%E9%A1%8C,
3786,Initiation,15,英文,えいぶん,English Writing,vocabulary,0,https://www.wanikani.com/vocabulary/%E8%8B%B1%E6%96%87,
3784,Initiation,15,英語,えいご,English Language,vocabulary,0,https://www.wanikani.com/vocabulary/%E8%8B%B1%E8%AA%9E,
3765,Initiation,15,今晩は,こんばんは,Good Evening,vocabulary,0,https://www.wanikani.com/vocabulary/%E4%BB%8A%E6%99%A9%E3%81%AF,
6809,Initiation,15,〜匹,ひき,Small Animal Counter,vocabulary,0,https://www.wanikani.com/vocabulary/%E3%80%9C%E5%8C%B9,
3767,Initiation,15,晴れる,はれる,To Clear Up,vocabulary,0,https://www.wanikani.com/vocabulary/%E6%99%B4%E3%82%8C%E3%82%8B,
3905,Initiation,15,練習する,れんしゅうする,To Practice,vocabulary,0,https://www.wanikani.com/vocabulary/%E7%B7%B4%E7%BF%92%E3%81%99%E3%82%8B,
3789,Initiation,15,時計,とけい,Watch,vocabulary,0,https://www.wanikani.com/vocabulary/%E6%99%82%E8%A8%88,
3829,Initiation,16,留守,るす,Absence,vocabulary,0,https://www.wanikani.com/vocabulary/%E7%95%99%E5%AE%88,
3835,Initiation,16,弁当,べんとう,Bento,vocabulary,0,https://www.wanikani.com/vocabulary/%E5%BC%81%E5%BD%93,
7469,Initiation,16,自動車,じどうしゃ,Automobile,vocabulary,0,https://www.wanikani.com/vocabulary/%E8%87%AA%E5%8B%95%E8%BB%8A,
3865,Initiation,16,辞書,じしょ,Dictionary,vocabulary,0,https://www.wanikani.com/vocabulary/%E8%BE%9E%E6%9B%B8,
3948,Initiation,16,曜日,ようび,Day Of The Week,vocabulary,0,https://www.wanikani.com/vocabulary/%E6%9B%9C%E6%97%A5,
3914,Initiation,16,卒業式,そつぎょうしき,Graduation Ceremony,vocabulary,0,https://www.wanikani.com/vocabulary/%E5%8D%92%E6%A5%AD%E5%BC%8F,
3878,Initiation,16,面白い,おもしろい,Interesting,vocabulary,0,https://www.wanikani.com/vocabulary/%E9%9D%A2%E7%99%BD%E3%81%84,
5618,Initiation,16,閉める,しめる,To Close Something,vocabulary,0,https://www.wanikani.com/vocabulary/%E9%96%89%E3%82%81%E3%82%8B,
3720,Initiation,16,約束する,やくそくする,To Promise,vocabulary,0,https://www.wanikani.com/vocabulary/%E7%B4%84%E6%9D%9F%E3%81%99%E3%82%8B,
4024,Initiation,17,無料,むりょう,Free,vocabulary,0,https://www.wanikani.com/vocabulary/%E7%84%A1%E6%96%99,
3941,Initiation,17,願い事,ねがいごと,One's Wish,vocabulary,0,https://www.wanikani.com/vocabulary/%E9%A1%98%E3%81%84%E4%BA%8B,
7704,Initiation,18,辞書形,じしょけい,Dictionary Form,vocabulary,0,https://www.wanikani.com/vocabulary/%E8%BE%9E%E6%9B%B8%E5%BD%A2,
4077,Initiation,18,可愛い,かわいい,Cute,vocabulary,0,https://www.wanikani.com/vocabulary/%E5%8F%AF%E6%84%9B%E3%81%84,
7454,Initiation,18,〜枚,まい,Flat Object Counter,vocabulary,0,https://www.wanikani.com/vocabulary/%E3%80%9C%E6%9E%9A,
4110,Initiation,18,五枚,ごまい,Five Flat Objects,vocabulary,0,https://www.wanikani.com/vocabulary/%E4%BA%94%E6%9E%9A,
4144,Initiation,18,訓読み,くんよみ,Kun'yomi,vocabulary,0,https://www.wanikani.com/vocabulary/%E8%A8%93%E8%AA%AD%E3%81%BF,
4056,Initiation,18,月曜日,げつようび,Monday,vocabulary,0,https://www.wanikani.com/vocabulary/%E6%9C%88%E6%9B%9C%E6%97%A5,
4054,Initiation,18,土曜日,どようび,Saturday,vocabulary,0,https://www.wanikani.com/vocabulary/%E5%9C%9F%E6%9B%9C%E6%97%A5,
4055,Initiation,18,日曜日,にちようび,Sunday,vocabulary,0,https://www.wanikani.com/vocabulary/%E6%97%A5%E6%9B%9C%E6%97%A5,
4057,Initiation,18,木曜日,もくようび,Thursday,vocabulary,0,https://www.wanikani.com/vocabulary/%E6%9C%A8%E6%9B%9C%E6%97%A5,
8997,Initiation,18,苛める,いじめる,To Bully,vocabulary,0,https://www.wanikani.com/vocabulary/%E8%8B%9B%E3%82%81%E3%82%8B,
5845,Initiation,18,閉まる,しまる,To Close,vocabulary,0,https://www.wanikani.com/vocabulary/%E9%96%89%E3%81%BE%E3%82%8B,
4058,Initiation,18,水曜日,すいようび,Wednesday,vocabulary,0,https://www.wanikani.com/vocabulary/%E6%B0%B4%E6%9B%9C%E6%97%A5,
4173,Initiation,19,一冊,いっさつ,One Book,vocabulary,0,https://www.wanikani.com/vocabulary/%E4%B8%80%E5%86%8A,
